iter	Passed	Remaining
0	75	75734
1	76	38310
2	77	25811
3	78	19570
4	79	15785
5	80	13392
6	82	11709
7	83	10339
8	84	9283
9	85	8428
10	86	7744
11	86	7159
12	88	6682
13	88	6250
14	90	5912
15	90	5595
16	91	5313
17	92	5070
18	94	4856
19	94	4652
20	95	4465
21	96	4294
22	97	4147
23	98	4003
24	100	3907
25	101	3819
26	103	3730
27	104	3620
28	105	3521
29	106	3428
30	106	3341
31	107	3258
32	108	3179
33	109	3105
34	110	3044
35	111	2993
36	112	2933
37	113	2875
38	114	2819
39	115	2771
40	116	2723
41	117	2673
42	117	2625
43	118	2580
44	120	2550
45	121	2511
46	122	2475
47	122	2437
48	123	2404
49	124	2372
50	125	2340
51	126	2310
52	127	2282
53	128	2251
54	129	2227
55	130	2200
56	131	2174
57	132	2154
58	133	2129
59	134	2107
60	135	2084
61	136	2064
62	137	2042
63	138	2019
64	139	2004
65	140	1985
66	141	1964
67	142	1946
68	143	1931
69	144	1914
70	144	1896
71	145	1877
72	146	1860
73	147	1843
74	148	1826
75	149	1813
76	150	1799
77	151	1785
78	151	1770
79	152	1757
80	153	1744
81	154	1734
82	155	1716
83	156	1703
84	157	1690
85	157	1678
86	158	1667
87	159	1656
88	160	1643
89	161	1633
90	162	1622
91	163	1613
92	164	1603
93	165	1593
94	166	1582
95	167	1573
96	168	1564
97	169	1556
98	170	1548
99	171	1539
100	171	1530
101	172	1521
102	173	1513
103	174	1503
104	175	1496
105	176	1488
106	177	1480
107	178	1472
108	179	1464
109	180	1456
110	180	1449
111	182	1443
112	182	1436
113	184	1430
114	184	1422
115	185	1416
116	186	1408
117	187	1402
118	188	1397
119	189	1390
120	190	1384
121	191	1375
122	191	1368
123	192	1362
124	193	1356
125	194	1350
126	195	1343
127	196	1336
128	197	1331
129	198	1325
130	198	1319
131	199	1314
132	200	1309
133	201	1304
134	202	1298
135	203	1292
136	204	1287
137	205	1281
138	206	1276
139	206	1271
140	207	1265
141	208	1258
142	209	1253
143	210	1248
144	211	1244
145	212	1241
146	213	1236
147	213	1231
148	214	1226
149	215	1221
150	216	1216
151	217	1211
152	218	1207
153	218	1202
154	219	1198
155	220	1195
156	221	1190
157	222	1187
158	223	1183
159	224	1179
160	225	1173
161	226	1169
162	226	1164
163	227	1160
164	228	1155
165	229	1151
166	229	1147
167	230	1143
168	231	1139
169	232	1135
170	233	1132
171	234	1128
172	235	1125
173	236	1121
174	237	1117
175	237	1114
176	238	1110
177	239	1106
178	240	1102
179	241	1099
180	242	1097
181	243	1095
182	244	1092
183	245	1088
184	246	1085
185	247	1081
186	247	1077
187	248	1074
188	249	1071
189	250	1068
190	251	1065
191	252	1062
192	253	1059
193	254	1055
194	254	1052
195	255	1049
196	256	1045
197	257	1042
198	258	1039
199	259	1036
200	259	1033
201	260	1030
202	261	1027
203	262	1024
204	263	1022
205	264	1019
206	265	1016
207	266	1013
208	266	1009
209	267	1007
210	268	1004
211	269	1001
212	270	998
213	271	995
214	272	993
215	272	990
216	273	988
217	274	985
218	275	982
219	276	979
220	277	977
221	278	974
222	279	972
223	280	970
224	280	967
225	281	964
226	282	962
227	283	959
228	284	956
229	285	954
230	285	951
231	286	949
232	287	946
233	288	943
234	289	941
235	290	939
236	291	937
237	291	934
238	292	932
239	293	929
240	294	927
241	295	924
242	296	922
243	296	919
244	297	917
245	298	914
246	299	912
247	300	910
248	301	908
249	302	906
250	302	903
251	303	901
252	304	898
253	305	896
254	306	894
255	306	891
256	307	889
257	308	887
258	309	885
259	310	883
260	311	881
261	312	880
262	313	877
263	314	875
264	314	873
265	315	871
